CENTER_NAME,name,LATITUDE,LONGITUDE,URL,,,,,
Through Faith Family Child Care Home,Through Faith Family Child Care Home,35.95115001,-78.90755958,https://childcarecenter.us/provider_detail/through_faith_family_child_care_home_durham_nc,,,,,
Tiff's Bud's & Blossom's Daycare,Tiff's Bud's & Blossom's Daycare,35.97418136,-78.89274043,https://childcarecenter.us/provider_detail/tiffs_buds_blossoms_daycare_durham_nc,,,,,
Timeless Treasures Home Daycare,Timeless Treasures Home Daycare,35.97126392,-78.88755924,https://childcarecenter.us/provider_detail/timeless_treasures_home_daycare_durham_nc,,,,,
Tomorrow's Inspirations Academy,Tomorrow's Inspirations Academy,35.97550975,-78.89123713,https://childcarecenter.us/provider_detail/tomorrows-inspirations-academy-durham-nc,,,,,
The Jungle of Learning,The Jungle of Learning,35.97245839,-78.84137232,https://childcarecenter.us/provider_detail/the_jungle_of_learning_durham_nc,,,,,
The Children's Room,The Children's Room,35.97132308,-78.90853363,https://www.wonderschool.com/nc/durham/the-children%27s-room%2C-llc-6388,,,,,
Tessie's Day Care,Tessie's Day Care,36.0223917,-78.9186836,https://childcarecenter.us/provider_detail/tessies_day_care_durham_nc,,,,,
Tendercare Learning Center,Tendercare Learning Center,36.04969415,-78.90570866,https://childcarecenter.us/provider_detail/tendercare_learning_center_durham_nc,,,,,
Tender Years,Tender Years,35.99071229,-78.87744755,https://childcarecenter.us/provider_detail/tender_years_durham_nc,,,,,
Tender Tots Day Care,Tender Tots Day Care,35.93850331,-78.91908057,https://childcarecenter.us/provider_detail/tender_tots_day_care_durham_nc,,,,,
Tender Hands of the Future,Tender Hands of the Future,35.92687033,-78.91370235,https://childcarecenter.us/provider_detail/tender_hands_of_the_future_durham_nc,,,,,
Teddy Bear Lane Home Daycare,Teddy Bear Lane Home Daycare,35.92575114,-78.91014742,https://childcarecenter.us/provider_detail/teddy_bear_lane_home_daycare_durham_nc,,,,,
Talentos Giraffe School,Talentos Giraffe School,35.97477853,-78.97355595,https://childcarecenter.us/provider_detail/talentos-giraffe-school-durham-nc,,,,,
Sugar Babies,Sugar Babies,35.94664854,-78.91144914,https://childcarecenter.us/provider_detail/sugar_babies_child_care_spring_lake_nc,,,,,
Sugar N Spice Day Care Home,Sugar N Spice Day Care Home,35.9797771,-78.9743906,https://childcarecenter.us/provider_detail/sugar_n_spice_day_care_home_durham_nc,,,,,
Sue's Home Day Care,Sue's Home Day Care,35.87829241,-78.91359809,https://childcarecenter.us/provider_detail/sues_home_day_care_durham_nc,,,,,
Success Corner Home Day Care,Success Corner Home Day Care,35.97888949,-78.87088659,https://childcarecenter.us/provider_detail/success-corner-home-daycare-durham-nc,,,,,
Stepping Stone Academy ,Stepping Stone Academy ,36.06809682,-78.93509002,https://www.daycare.com/php/showlisting.php?ID=00209610&p=0,,,,,
Starting Legends Child Care LLC,Starting Legends Child Care LLC,35.92994831,-78.89663123,https://childcarecenter.us/provider_detail/starting-legends-child-care-durham-nc,,,,,
Sprouting Scholars Preschool,Sprouting Scholars Preschool,35.94670974,-78.98326228,https://www.sproutingscholarspreschool.com,,,,,
Southside Econo Care Home,Southside Econo Care Home,35.92628219,-78.92233827,https://childcarecenter.us/provider_detail/southside_econo_care_home_durham_nc,,,,,
